ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,avg_growth,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PEG,PriceIndex_6m,percenFCFpersharetoprice,clusterno_kmeans
2S.bk,SET,2025-02-04,Steel,Basic Materials,1431490176.0,0.331,0.01847,0.68250066,0.503,0.06729,7.595,0.05,669347000.0,1293609000.0,5945000.0,2024-09-30,2586000.0,0.1672,3.218769956132052,0.4346155612173679,2.5199999809265137,2.869999885559082,0.0041530148789508,0.0030285956486034,0.0018065090793888,43.77999961853027,50.39999961853027,0.1565815522868096,0.8780488088540855,0.131349207343368,0
3K-BAT.bk,SET,2025-02-04,Electrical Equipment & Parts,Industrials,3791766016.0,10.383,0.04918,1.6778524,14.057,0.097320005,2.567,2.07,1436769000.0,1228831000.0,148740310.0,2024-09-30,-46174000.0,0.0327,-0.37873106630476,0.0398341955623971,53.0,53.25,0.0392271857947892,0.0557999362244897,-0.0121774391682295,20.58792270531401,25.60386473429952,-0.6760434253285263,0.9953051643192488,0.1959056603773585,0
A.bk,SET,2025-02-04,Real Estate - Development,Real Estate,13762380800.0,0.074,-0.107200004,1.8155091,322.825,-0.08372,2.047,-0.36,6937323000.0,2171627000.0,-161452748.0,2024-09-30,-11287000.0,0.0191,4.01020008169571,0.0494385253065923,4.920000076293945,4.980000019073486,-0.011731454778522,-0.0177246277562177,-0.0008201342604907,-13.461111323038738,-13.666666878594294,-0.0340797631045265,0.9879518187651124,0.0150406501732702,0
AAI.bk,SET,2025-02-04,Packaged Foods,Consumer Defensive,10718203904.0,0.334,0.14956,2.3390558,3.354,0.2062,7.231,0.47,1545440000.0,3605780000.0,1047958386.0,2024-09-30,248454000.0,0.1919,-0.2774068497158277,0.7913073284576578,5.300000190734863,4.814858913421631,0.0977736937444253,0.2034388719565462,0.0231805629213004,10.56595785262737,11.27659615049971,-0.4065002779149585,1.1007591885944736,0.0630188656566236,2
AAV.bk,SET,2025-02-04,Airlines,Industrials,80214990848.0,0.125,0.016449999,3.1755726,560.443,0.10318,0.473,0.47,59200496000.0,-15630297000.0,4732736000.0,2024-09-30,1374464500.0,-0.1233,2.6762604253507623,1.3573622571678592,2.0999999046325684,2.1600000858306885,0.0590006425228932,0.1086232358039034,0.0171347585466223,4.202127456665039,4.46808490347355,0.0166952545467915,0.9722221394379966,0.0595238122269681,0
ACC.bk,SET,2025-02-04,Conglomerates,Industrials,1134996224.0,0.042,-0.66566,1.0297482,7.48,-0.1345,6.932,-0.05,307786000.0,290309000.0,-61917000.0,2024-09-30,-52472000.0,-0.085,0.4298782023561214,1.7008981252459423,0.4399999976158142,0.4199999868869781,-0.0545526043970345,-0.1035236877084744,-0.0462309908090055,-7.959999952316284,-8.799999952316284,-0.2047091456157656,1.0476190746506333,0.0954545459717758,0
ACE.bk,SET,2025-02-04,Utilities - Renewable,Utilities,19239884800.0,0.041,0.15263,0.82891244,40.685,0.06255,1.686,0.08,21167710858.0,1415257560.0,1228665319.0,2024-09-30,-1303634484.0,0.0829,-0.0343514127527562,0.4463399088304799,1.2599999904632568,1.2799999713897705,0.0638603261803314,0.0544067235209291,-0.0677568757584245,15.237499880790711,15.74999988079071,-4.584964232519654,0.9843750145519156,0.0325396827859703,0
ACG.bk,SET,2025-02-04,Auto & Truck Dealerships,Consumer Cyclical,854064064.0,0.253,0.00991,0.67474043,60.114,0.02424,0.864,0.04,938552494.0,-45068716.0,58055200.0,2024-09-30,10151588.0,0.0672,-0.0945769653180842,0.7357135702984412,0.800000011920929,0.800000011920929,0.0679752286123585,0.0649762216499917,0.0118862137255314,13.675000298023225,20.000000298023224,-2.1146798515641287,1.0,0.3162499952875078,0
ADVANC.bk,SET,2025-02-04,Telecom Services,Communication Services,1041388011520.0,4.363,0.15767,9.477554,254.327,0.38215,0.296,11.02,389215773000.0,-96515795000.0,47449332215.0,2024-09-30,16879206500.0,0.1429,0.0233220185116836,1.0852329706010002,279.0,235.15020751953125,0.0455635475827529,0.1621091075551772,0.0162083741249942,24.92168784029038,25.31760435571688,10.85566600636798,1.1864756699261116,0.0156379928315412,2
AE.bk,SET,2025-02-04,Specialty Retail,Consumer Cyclical,2048688384.0,0.017,-0.14930001,0.3862661,15.15,-0.06293,0.733,-0.03,3530128000.0,-105831000.0,-181697491.0,2024-09-30,2035500.0,-0.0424,0.2175936828152446,1.82399754913134,0.1800000071525573,0.1899999976158142,-0.0886896672129518,-0.053061253448518,0.0009935625231718,-5.433333571751912,-6.000000238418579,-0.2757433102280403,0.947368470585578,0.0944444406915595,0
AFC.bk,SET,2025-02-04,Textile Manufacturing,Consumer Cyclical,217072192.0,1.688,0.0309,0.1525547,5.714,0.01891,3.671,0.29,1019178019.44,335016167.68,10436991.4,2024-09-30,-8439975.559999999,0.0012,1.851537908780169,1.576087630053593,3.900000095367432,4.800000190734863,0.0480807389644823,0.0077071600951091,-0.0388809615927221,7.627586535749765,13.44827619092218,0.0726330048504498,0.8124999875823662,0.4328205022366718,0
AGE.bk,SET,2025-02-04,Thermal Coal,Energy,5879124992.0,0.073,-0.00818,0.4045829,155.325,-0.03501,1.038,-0.18,3048983000.0,227627000.0,-149571568.0,2024-09-30,-458230500.0,0.1918,-0.5193259955776841,0.7336144696436877,1.1299999952316284,1.25,-0.0254411274132679,-0.0456482669588385,-0.0779419557542211,-5.872222195731269,-6.277777751286825,0.1208831794430701,0.9039999961853028,0.0646017701841108,0
AH.bk,SET,2025-02-04,Auto Parts,Consumer Cyclical,10337510400.0,6.23,0.03658,0.46517724,44.459,0.09198,0.988,2.15,13632809000.0,-732894000.0,759961163.0,2024-09-30,527315000.0,0.07,0.5171117462194345,1.0193535034297665,14.199999809265137,14.772727966308594,0.0735149115787104,0.0589121062425605,0.0510098640384439,3.7069766554721566,6.604651074076808,0.1277219309436098,0.9612307111895888,0.4387324002592651,0
AHC.bk,SET,2025-02-04,Medical Care Facilities,Healthcare,1920826496.0,2.039,0.090900004,1.0671378,0.158,0.08198,5.45,1.1,983775000.0,1221652000.0,167847602.0,2024-09-30,40455500.0,0.1073,0.0830542300937094,0.1757200483608484,14.899999618530272,15.399999618530272,0.0873830105683839,0.0761066233432346,0.0210615066401083,11.69181783502752,13.545454198663885,1.630916833902457,0.967532466728222,0.136845641087414,0
AI.bk,SET,2025-02-04,Electrical Equipment & Parts,Industrials,2919773184.0,0.921,0.024230001,1.0773131,0.036,0.07786,3.588,0.42,1777918000.0,1475763000.0,398434990.0,2024-09-30,168378000.0,0.1347,-1.2202986990623232,0.493429473166678,3.4200000762939453,3.261413097381592,0.1364609388781892,0.1224566852128404,0.0576681781046181,5.950000181652251,8.142857324509395,-0.0667283947017755,1.048625235190131,0.2692982396064838,2
AIMCG.bk,SET,2025-02-04,REIT - Retail,Real Estate,926516672.0,0.707,0.114020005,0.2920004,8.729,0.0139999995,6.666,-0.02,2704073510.0,409064680.0,174430824.0,2024-09-30,39924579.0,0.0755,-0.0212621759612939,0.2361752247287363,2.880000114440918,3.0876622200012207,0.1882651756535256,0.0560305432506354,0.0430910529799943,-108.6500057220459,-144.0000057220459,67.72590255305299,0.93274455210317,0.2454861013563698,2
AIMIRT.bk,SET,2025-02-04,REIT - Industrial,Real Estate,11667124224.0,0.644,0.71123004,0.84340274,38.785,0.079050004,13.361,0.92,13111472000.0,254876000.0,662995627.0,2024-09-30,-890564000.0,0.0616,0.1149975139852117,0.0377991493970074,10.5,10.536585807800291,0.0568259679309985,0.049601852877091,-0.0763310634996115,10.713043478260868,11.41304347826087,0.9924600178512156,0.9965277359794092,0.0613333333333333,0
AIT.bk,SET,2025-02-04,Information Technology Services,Technology,4809450496.0,1.249,0.08015,1.617647,2.266,0.14579001,2.346,0.39,848273000.0,3464558000.0,724544500.0,2024-09-30,222112500.0,0.1891,-0.0080611064483726,0.7232252708258436,4.360000133514404,3.680922269821167,0.1506501627582196,0.1679974244295684,0.0461825109094542,7.9769234192677025,11.179487521831806,-13.868428104046082,1.1844857929385804,0.2864678811358742,2
AJ.bk,SET,2025-02-04,Packaging & Containers,Consumer Cyclical,11246693376.0,0.683,-0.020399999,0.2625728,145.043,-0.042090002,0.861,-0.45,10840114000.0,-775970000.0,-196575271.0,2024-09-30,-258035000.0,0.0354,-3.049210443839161,1.1452398347288428,2.4600000381469727,5.099999904632568,-0.0174784947386832,-0.0195322395029323,-0.0229431879551937,-3.948888973659939,-5.4666667514377165,0.0179281386185822,0.4823529576760265,0.2776422721173934,0
AJA.bk,SET,2025-02-04,Electronics & Computer Distribution,Technology,757504896.0,0.017,-0.15071,0.92198575,5.851,-0.06486,4.879,-0.02,616187000.0,160070000.0,-134338905.0,2024-09-30,-49718000.0,-0.1426,-0.4267926979161387,1.115361069445017,0.1299999952316284,0.1599999964237213,-0.1773439428700405,-0.1730598307003995,-0.0656338992164085,-5.64999976158142,-6.499999761581421,0.1522987575307255,0.8124999883584676,0.1307692355658177,1
AKR.bk,SET,2025-02-04,Electrical Equipment & Parts,Industrials,1799447296.0,0.071,0.103190005,0.92540133,30.461,0.16851999,2.067,0.16,756675443.0,952445589.0,328296940.0,2024-09-30,-78133749.5,0.1325,0.1995640805201768,0.4050603636794472,0.9700000286102296,0.8399999737739563,0.1824432094953672,0.1920852495834244,-0.0434209713580852,5.618750178813935,6.062500178813934,0.303787142606607,1.1547619748750804,0.0731958741297414,2
AKS.bk,SET,2025-02-04,Real Estate - Development,Real Estate,1622232320.0,0.001,-0.21360001,0.35714284,27.618,-0.07774,0.412,-0.01,5125737000.0,-2721038000.0,-504509000.0,2024-09-30,-238482500.0,-0.1528,-0.3906076917010625,0.0,0.0099999997764825,0.0099999997764825,-0.3109967627817944,-0.2098013098520854,-0.1470088451942567,-0.8999999776482581,-0.9999999776482582,0.0256011337947121,1.0,0.1000000022351742,1
ALLA.bk,SET,2025-02-04,Industrial Distribution,Industrials,717270016.0,0.486,0.14716,0.94254357,0.766,0.12958999,4.207,0.2,353982000.0,651331000.0,152334770.0,2024-09-30,9778000.0,0.0767,0.2014832459280036,0.4779653959000661,1.4900000095367432,1.4700000286102295,0.2123813439874782,0.1515296927424593,0.0136322441784601,5.020000047683715,7.450000047683716,0.3697577936751048,1.013605428936911,0.3261744945566158,2
ALLY.bk,SET,2025-02-04,REIT - Diversified,Real Estate,8491987968.0,0.726,0.24298,0.51710016,54.835,0.04797,11.16,0.53,13165132000.0,-131877000.0,754125546.0,2024-09-30,-137965000.0,0.0489,0.0866603849268086,0.3187626500306472,5.050000190734863,4.315649509429932,0.0888043587487099,0.0578616428513061,-0.0162464902823564,8.158490925914837,9.528302246669552,1.0994991834754644,1.1701599445692554,0.1437623708078225,0
ALT.bk,SET,2025-02-04,Communication Equipment,Technology,1482873856.0,0.207,0.021259999,0.6638714,37.453,0.018919999,1.174,0.02,2852798922.0,190328481.0,51138652.0,2024-09-30,44833630.5,-0.0309,-74.17842954482565,0.2906596664475883,0.9800000190734864,1.2400000095367432,0.0344861781688866,0.0168046372128837,0.030234284810265,38.65000095367432,49.00000095367432,-0.0066056940345527,0.7903225899486958,0.2112244856849108,0
AMANAH.bk,SET,2025-02-04,Credit Services,Financial Services,3761891072.0,0.17,0.06974,0.57087874,147.109,0.03821,0.424,0.02,3293435551.0,-1418887632.0,7680378.0,2024-09-30,154749573.5,0.113,-0.1701031600604967,1.9573630809604137,0.8999999761581421,1.1399999856948853,0.0020416268980156,0.0040971894728074,0.0411361122739069,36.499998807907104,44.999998807907104,-2.6454534290781537,0.7894736732032049,0.1888888938927357,0
AMARIN.bk,SET,2025-02-04,Publishing,Communication Services,2996690432.0,0.854,0.04788,0.58848435,2.97,0.042519998,2.165,0.12,3889170000.0,1165371000.0,111852851.0,2024-09-30,70870500.0,0.0658,0.0923097658811636,0.4414110828293009,2.7799999713897705,3.839999914169312,0.0373254607167911,0.0221291806714002,0.0236495899753985,16.04999976158142,23.16666642824809,2.509665819981826,0.7239583420644826,0.3071942477657906,0
AMATA.bk,SET,2025-02-04,Real Estate - Development,Real Estate,54280425472.0,2.798,0.15531,1.3911575,69.242,0.09445,1.209,1.87,41234241000.0,4011807000.0,2789664075.0,2024-09-30,1619511000.0,0.0499,0.177489477866536,0.8890646257094924,25.25,22.6286735534668,0.0513935557936814,0.0616554196070339,0.0298360041565151,12.006417112299465,13.502673796791443,0.7607591142357656,1.1158409236997282,0.1108118811881188,0
AMATAR.bk,SET,2025-02-04,REIT - Industrial,Real Estate,3337664000.0,0.056,0.59935004,0.65014225,27.083,0.06594,2.727,0.67,4653665000.0,-134521000.0,345295051.0,2024-09-30,69978000.0,0.0645,0.020904393308284,0.2122558162733356,6.400000095367432,5.84837818145752,0.1034541077232459,0.0764071804306302,0.0209661607639354,9.46865685875736,9.5522389483096,4.56948872298733,1.0943204930999244,0.0087499998696148,2
AMATAV.bk,SET,2025-02-04,Real Estate Services,Real Estate,9812261888.0,0.821,0.08631,0.8808081,69.228,0.08494,1.208,0.17,9322957000.0,396610000.0,591667782.0,2024-09-30,-578890500.0,0.036,-0.5908594316113321,-0.0008495157638103,4.380000114440918,4.619999885559082,0.0602988168022284,0.0608738827562997,-0.0589966418148663,20.93529479082893,25.76470655553481,-0.4360547564633419,0.9480519963066794,0.1874429174769087,0
AMC.bk,SET,2025-02-04,Steel,Basic Materials,2229063936.0,1.46,0.03877,0.28093934,44.961,0.09964,1.514,0.53,2531557000.0,961973000.0,195749728.0,2024-09-30,-337537500.0,0.1361,8.39418457476343,-0.2551941937377548,1.9600000381469729,3.200000047683716,0.0878170091214467,0.0560320730035236,-0.1514256700082379,0.9433962983905144,3.6981132795225897,0.0044055658373783,0.6125000027939677,0.7448979446859175,0
AMR.bk,SET,2025-02-04,Engineering & Construction,Industrials,765885376.0,0.017,-0.30847,0.4337493,13.013,-0.20603001,1.667,-0.2,682741877.0,359147544.0,-131959159.0,2024-09-30,-31615976.5,0.0869,-9.701172669693843,0.6652043673715855,0.7200000286102295,0.9900000095367432,-0.1722962249118594,-0.1266537084840983,-0.0412802979280283,-3.515000143051147,-3.6000001430511475,0.0037108917299219,0.7272727491660769,0.0236111101728898,1
ANAN.bk,SET,2025-02-04,Real Estate - Development,Real Estate,18328006656.0,0.388,-0.07549,0.23221345,141.448,-0.03271,1.456,-0.04,9345325000.0,7517394000.0,-370040059.0,2024-09-30,-104478000.0,-0.0256,0.4529934597315314,1.622691622027043,0.5,0.5600000023841858,-0.0201898693046829,-0.021944270019562,-0.0057004562449674,-2.8,-12.5,-0.2759421738099304,0.8928571390558262,0.776,0
ANI.bk,SET,2025-02-04,Integrated Freight & Logistics,Industrials,4972048384.0,0.736,0.08366,0.6886988,9.957,0.11429,1.406,0.37,8159612582.0,577340140.0,1033082939.0,2024-09-30,307323914.0,0.1187,0.5485226231772108,0.4918427085391316,2.940000057220459,3.7523810863494873,0.2077781347270171,0.1182429357089978,0.061810322479758,5.956756911406647,7.945946100595835,0.1448608637975674,0.7835025253473509,0.2503401311821165,2
AOT.bk,SET,2025-02-04,Airports & Air Services,Industrials,925695803392.0,0.69,0.27789,6.666667,44.985,0.16233,1.339,1.34,175925894918.0,6861267505.0,27499684427.0,2024-09-30,8817713988.5,0.0192,0.5732255782443255,0.6929110288952227,55.0,54.2991943359375,0.0297070423418078,0.1504464759038227,0.0095254985019803,40.52985074626866,41.04477611940298,0.7160318324439545,1.0129063731540244,0.0125454545454545,0
AP.bk,SET,2025-02-04,Real Estate - Development,Real Estate,60931538944.0,0.982,0.14202,0.6097561,90.81,0.13506,3.519,1.6,9722621000.0,55605398000.0,5958818671.0,2024-09-30,1743277500.0,0.097,0.1973451452744145,1.0628789434359285,7.900000095367432,7.75,0.0977953088707727,0.0912138277298749,0.0286104295117539,4.323750059604644,4.937500059604645,0.2501961754741368,1.0193548510151524,0.1243037959677805,2
APCO.bk,SET,2025-02-04,Household & Personal Products,Consumer Defensive,2771804416.0,0.437,0.32348,4.350394,5.857,0.14934,7.591,0.1,244840706.0,346518346.0,63663283.0,2024-09-30,1763141.5,0.1373,0.128367732520773,0.0884183754837941,4.460000038146973,5.849999904632568,0.0229681728741426,0.1076558865289847,0.0006360988134019,40.23000038146972,44.60000038146973,3.4743934091265767,0.7623931813426414,0.0979820619422154,0
APCS.bk,SET,2025-02-04,Engineering & Construction,Industrials,2009188352.0,0.146,0.045560002,0.5584319,42.565,0.02244,1.575,0.07,1496313428.08,782525353.96,56613774.42,2024-09-30,-161033604.67999998,-0.0045,-12.756959057662234,0.2911050882122464,1.75,2.180000066757202,0.0281774351138583,0.0248432556379963,-0.080148585631458,22.914285714285715,25.0,-0.0195971468490244,0.8027522689956442,0.0834285714285714,0
APURE.bk,SET,2025-02-04,Farm Products,Consumer Defensive,4025476864.0,0.242,0.14986,1.5073817,11.872,0.16184,3.138,0.3,1445669000.0,1130390000.0,451876559.0,2024-09-30,38173500.0,0.1543,0.0342405132953534,0.2553197908614716,3.920000076293945,4.059999942779541,0.1122541687026325,0.1754139012344049,0.0094829758783082,12.260000254313152,13.066666920979818,3.8161422430407934,0.965517273778642,0.0617346926760246,2
