ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
AAPL,sp500,2025-02-05,Consumer Electronics,Technology,3645256499200.0,4.311,0.23971,61.799843,209.059,1.5741299,0.867,6.43,210845000000.0,-11125000000.0,125675000000.0,2024-12-31,25449000000.0,0.5722,0.7393700108094945,232.8000030517578,208.79833984375,0.0344763118939863,0.6292559583416784,0.0069814017218226,35.53483717756731,36.205288188453785,1.114951408262963,0.0185180409943617,111.0,383.0,494.0,2
MSFT,sp500,2025-02-05,Software - Infrastructure,Technology,3307079729152.0,10.549,0.35608003,11.418246,33.657,0.35604,1.301,12.45,386818000000.0,38198000000.0,117711000000.0,2024-12-31,12872000000.0,0.2912,1.0950693456413263,412.3699951171875,393.6510925292969,0.0355936383880842,0.2769566322209046,0.0038922557223319,32.27477872427209,33.12208796121988,1.0475520148251525,0.0255813956517427,123.0,354.0,477.0,2
NVDA,sp500,2025-02-05,Semiconductors,Technology,3553896693760.0,1.419,0.55041003,68.03326,17.221,1.23767,4.269,2.57,28373000000.0,51161000000.0,71034000000.0,2024-10-31,15162500000.0,0.2984,2.819214371054077,118.6500015258789,100.43448638916016,0.0199876378299692,0.8931274674981768,0.0042664436551075,45.61517569100347,46.16731576882448,1.1813671358475204,0.011959544726095,36.0,382.0,418.0,4
GOOGL,sp500,2025-02-05,Internet Content & Information,Communication Services,2462356602880.0,7.616,0.27738002,8.057627,9.324,0.32101002,1.95,7.74,272725000000.0,76738000000.0,105115000000.0,2024-09-30,15545500000.0,0.2349,1.1526073240719004,206.3800048828125,158.85690307617188,0.0426887802835122,0.300790069334951,0.0063132610369342,25.68010399002745,26.66408331819283,1.2991566679595492,0.036902799785883,176.0,346.0,522.0,4
GOOG,sp500,2025-02-05,Internet Content & Information,Communication Services,2478637056000.0,7.616,0.27738002,8.109553,9.324,0.32101002,1.95,7.73,272725000000.0,76738000000.0,105115000000.0,2024-09-30,15545500000.0,0.2349,1.17030110615996,207.7100067138672,160.2470245361328,0.0424083872003566,0.300790069334951,0.0062717935900979,25.885382498559792,26.870634762466647,1.2961863555041069,0.0366665050013285,173.0,346.0,519.0,4
AMZN,sp500,2025-02-05,Internet Retail,Consumer Cyclical,2615747543040.0,8.374,0.080419995,9.817886,61.175,0.22558,1.089,4.77,408834000000.0,14315000000.0,60599000000.0,2024-09-30,5506000000.0,0.0871,1.4212033903313337,242.05999755859372,161.02000427246094,0.0231669910810935,0.1432096022913914,0.0021049431986089,48.99077516951652,50.74633072507207,1.5032914615317334,0.0345947289286118,43.0,194.0,237.0,1
META,sp500,2025-02-05,Internet Content & Information,Communication Services,1685938241536.0,28.085,0.35549998,10.80278,29.811,0.36134,2.732,24.08,176009000000.0,66449000000.0,69379000000.0,2024-12-31,15014500000.0,0.257,1.1547584228067005,704.1900024414062,474.8935546875,0.041151566700801,0.2861485288173622,0.0089057236084287,28.07745026750026,29.243770865506907,1.482837565367239,0.0398827019733738,162.0,348.0,510.0,4
LLY,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,770690711552.0,3.912,0.20482999,52.200317,218.081,0.65318,1.273,9.5,44191800000.0,6741000000.0,15128500000.0,2024-09-30,-197750000.0,0.2511,0.8002358716008791,826.0700073242188,772.898193359375,0.0196297941226442,0.2970286338076838,-0.0002565880151867,86.54294813939144,86.95473761307566,1.0687953658343208,0.0047356761113644,35.0,351.0,386.0,5
AVGO,sp500,2025-02-05,Semiconductors,Technology,103630258176.0,27.019,0.108830005,3.755931,166.032,0.12509,1.038,1.31,146050000000.0,2898000000.0,14996000000.0,2024-10-31,5136500000.0,0.1732,2.815938255161176,222.42999267578125,141.23580932617188,0.1447067706280496,0.1006794317479925,0.0495656393258853,149.16869669906964,169.7938875387643,1.5748838324854175,0.121471927751144,381.0,229.0,610.0,4
TSLA,sp500,2025-02-05,Auto Manufacturers,Consumer Cyclical,1228948242432.0,10.482,0.13075,17.986334,18.078,0.20389,1.844,2.08,63716000000.0,29539000000.0,7760000000.0,2024-12-31,2388000000.0,0.1498,2.8060325011541924,392.2099914550781,198.8800048828125,0.006314342404399,0.0832126963701678,0.0019431249564052,183.5230728149414,188.56249589186447,1.9720936334760395,0.0267254792798937,9.0,199.0,208.0,3
