ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,avg_growth,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PEG,PriceIndex_6m,percenFCFpersharetoprice
AAPL,US,2025-02-03,Consumer Electronics,Technology,3645256499200.0,4.311,0.23971,60.574013,209.059,1.5741299,0.867,6.3,210845000000.0,-11125000000.0,125675000000.0,2024-12-31,24574750000.0,0.5722,0.03841020367512577,0.6990094144934467,236.0,208.79833984375,0.034476311893986346,0.6292559583416784,0.006741569490485308,36.77603174603175,37.46031746031746,9.75269951108761,1.1302771859996867,0.018266949152542372
MSFT,US,2025-02-03,Software - Infrastructure,Technology,3307079729152.0,10.549,0.35608003,11.445892,33.657,0.35604,1.301,12.41,386818000000.0,38198000000.0,117711000000.0,2024-12-31,17507750000.0,0.2912,0.13688252181038493,1.0967298447384999,415.05999755859375,393.6510925292969,0.035593638388084284,0.2769566322209046,0.0052940211406664,32.59556789352085,33.44560818360949,2.443380479937363,1.0543854835807513,0.0254156027129808
NVDA,US,2025-02-03,Semiconductors,Technology,3553896693760.0,1.419,0.55041003,67.470184,17.221,1.23767,4.269,2.53,28373000000.0,51161000000.0,71034000000.0,2024-10-31,14136500000.0,0.2984,0.19302555940442656,2.8148393300301513,120.06999969482422,100.43448638916016,0.019987637829969245,0.8931274674981768,0.00397774646202326,46.89762833787519,47.45849790309258,2.458663922514929,1.1955056874546164,0.011818106134809693
GOOGL,US,2025-02-03,Internet Content & Information,Communication Services,2433467809792.0,7.616,0.27738002,7.9100294,9.324,0.32101002,1.95,7.55,272725000000.0,76738000000.0,105115000000.0,2024-09-30,13955750000.0,0.2349,0.17888879361569068,1.1351565675566009,204.02000427246094,158.85690307617188,0.043195558033284474,0.30079006933495106,0.005734922789544877,26.013775400325954,27.022517122180258,1.5105762958094018,1.2843005265854475,0.03732967277968058
GOOG,US,2025-02-03,Internet Content & Information,Communication Services,2452808531968.0,7.616,0.27738002,7.9666576,9.324,0.32101002,1.95,7.55,272725000000.0,76738000000.0,105115000000.0,2024-09-30,13955750000.0,0.2349,0.17888879361569068,1.1527434693434142,205.60000610351562,160.2470245361328,0.04285495530124459,0.30079006933495106,0.00568970215901959,26.22304716602856,27.231788887882864,1.5222747237250256,1.2830191805349656,0.03704280045675432
AMZN,US,2025-02-03,Internet Retail,Consumer Cyclical,2569691725824.0,8.374,0.080419995,9.597241,61.175,0.22558,1.089,4.68,408834000000.0,14315000000.0,60599000000.0,2024-09-30,10738250000.0,0.0871,-0.09468055733441787,1.4242828338687195,237.67999267578125,161.02000427246094,0.023582206142088214,0.14320960229139146,0.004178808645444294,48.99700698200454,50.786323221320785,-5.363965385410671,1.4760898420646196,0.03523224612103954
META,US,2025-02-03,Internet Content & Information,Communication Services,1685938241536.0,28.085,0.35549998,10.729297,29.811,0.36134,2.732,23.85,176009000000.0,66449000000.0,69379000000.0,2024-12-31,13518000000.0,0.257,0.030586309168676256,1.17487601367131,689.1799926757812,474.8935546875,0.04115156670080109,0.2861485288173622,0.008018087298194398,27.718867617433173,28.896435751605082,9.447506592654928,1.4512304618016785,0.04075132809784329
LLY,US,2025-02-03,Drug Manufacturers - General,Healthcare,757209956352.0,3.912,0.20482999,51.266666,218.081,0.65318,1.273,9.25,44191800000.0,6741000000.0,15128500000.0,2024-09-30,-568825000.0,0.2511,0.12863102479179125,0.7963723181796062,811.0800170898438,772.8982543945312,0.019979267141288483,0.29702863380768385,-0.0007512117283037592,87.26140725295608,87.684326171875,6.816732301853719,1.0494007619738035,0.004823198596405151
AVGO,US,2025-02-03,Semiconductors,Technology,103630258176.0,27.019,0.108830005,3.6969993,166.032,0.12509,1.038,1.28,146050000000.0,2898000000.0,14996000000.0,2024-10-31,4853500000.0,0.1732,0.14265747813149687,2.8204204097145493,221.27000427246094,141.23580932617188,0.14470677062804965,0.10067943174799258,0.046834776689999934,151.7585970878601,172.8671908378601,12.117639614974614,1.5666707000733575,0.12210873357570029
TSLA,US,2025-02-03,Auto Manufacturers,Consumer Cyclical,1228948242432.0,10.482,0.13075,17.77584,18.078,0.20389,1.844,2.02,63716000000.0,29539000000.0,7760000000.0,2024-12-31,895250000.0,0.1498,-0.05703785473790035,2.7721072503911315,404.6000061035156,198.8800048828125,0.006314342404399,0.08321269637016782,0.0007284684326724491,195.1079238136216,200.2970327245127,-35.11650878963018,2.034392579293836,0.02590706831902077
