ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice
2S.bk,SET,2025-02-05,Steel,Basic Materials,1431490176.0,0.331,0.01847,0.68250066,0.503,0.06729,7.595,0.06,669347000.0,1293609000.0,5945000.0,2024-09-30,2586000.0,0.1672,0.43461556121736794,2.5199999809265137,2.869999885559082,0.00415301487895087,0.003028595648603433,0.00180650907938889,36.48333301544189,41.999999682108566,0.8780488088540855,0.131349207343368
3K-BAT.bk,SET,2025-02-05,Electrical Equipment & Parts,Industrials,3791766016.0,10.383,0.04918,1.6778524,14.057,0.097320005,2.567,2.07,1436769000.0,1228831000.0,148740310.0,2024-09-30,-46174000.0,0.0327,0.03983419556239716,53.0,53.25,0.039227185794789295,0.055799936224489796,-0.01217743916822952,20.587922705314014,25.60386473429952,0.9953051643192489,0.1959056603773585
A.bk,SET,2025-02-05,Real Estate - Development,Real Estate,13762380800.0,0.074,-0.107200004,1.8155091,322.825,-0.08372,2.047,-0.36,6937323000.0,2171627000.0,-161452748.0,2024-09-30,-11287000.0,0.0191,0.049438525306592346,4.920000076293945,4.980000019073486,-0.011731454778522043,-0.017724627756217786,-0.000820134260490743,-13.461111323038738,-13.666666878594294,0.9879518187651124,0.015040650173270215
AAI.bk,SET,2025-02-05,Packaged Foods,Consumer Defensive,10824454144.0,0.334,0.14956,2.2746782,3.354,0.2062,7.231,0.47,1545440000.0,3605780000.0,1047958386.0,2024-09-30,248454000.0,0.1919,0.7913073284576578,5.300000190734863,4.814858913421631,0.09681397066852408,0.20343887195654622,0.022953028087584273,10.56595785262737,11.27659615049971,1.1007591885944736,0.06301886565662364
AAV.bk,SET,2025-02-05,Airlines,Industrials,80214990848.0,0.125,0.016449999,3.1145039,560.443,0.10318,0.473,0.46,59200496000.0,-15630297000.0,4732736000.0,2024-09-30,1374464500.0,-0.1233,1.3573622571678592,2.0999999046325684,2.1600000858306885,0.05900064252289323,0.10862323580390348,0.01713475854662233,4.2934780535490615,4.565217183983844,0.9722221394379966,0.05952381222696814
ACC.bk,SET,2025-02-05,Conglomerates,Industrials,1134996224.0,0.042,-0.66566,0.98398167,7.48,-0.1345,6.932,-0.05,307786000.0,290309000.0,-61917000.0,2024-09-30,-52472000.0,-0.085,1.7008981252459423,0.4399999976158142,0.41999998688697815,-0.05455260439703454,-0.10352368770847441,-0.04623099080900554,-7.959999952316284,-8.799999952316284,1.0476190746506333,0.09545454597177586
ACE.bk,SET,2025-02-05,Utilities - Renewable,Utilities,19239884800.0,0.041,0.15263,0.83554375,40.685,0.06255,1.686,0.08,21167710858.0,1415257560.0,1228665319.0,2024-09-30,-1303634484.0,0.0829,0.44633990883047997,1.2599999904632568,1.2799999713897705,0.0638603261803314,0.054406723520929116,-0.0677568757584245,15.237499880790711,15.74999988079071,0.9843750145519156,0.03253968278597032
ACG.bk,SET,2025-02-05,Auto & Truck Dealerships,Consumer Cyclical,854064064.0,0.253,0.00991,0.70934254,60.114,0.02424,0.864,0.04,938552494.0,-45068716.0,58055200.0,2024-09-30,10151588.0,0.0672,0.7357135702984412,0.800000011920929,0.800000011920929,0.06797522861235852,0.06497622164999173,0.011886213725531483,13.675000298023223,20.000000298023224,1.0,0.31624999528750786
ADVANC.bk,SET,2025-02-05,Telecom Services,Communication Services,1041388011520.0,4.363,0.15767,9.477554,254.327,0.38215,0.296,11.02,389215773000.0,-96515795000.0,47449332215.0,2024-09-30,16879206500.0,0.1429,1.0852329706010002,279.0,235.15020751953125,0.04556354758275295,0.1621091075551772,0.016208374124994266,24.92168784029038,25.31760435571688,1.1864756699261116,0.01563799283154122
AE.bk,SET,2025-02-05,Specialty Retail,Consumer Cyclical,2048688384.0,0.017,-0.14930001,0.3862661,15.15,-0.06293,0.733,-0.03,3530128000.0,-105831000.0,-181697491.0,2024-09-30,2035500.0,-0.0424,1.8239975491313398,0.18000000715255737,0.1899999976158142,-0.0886896672129518,-0.053061253448518045,0.000993562523171899,-5.433333571751912,-6.000000238418579,0.947368470585578,0.09444444069155956
