ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice
AADI,US,2025-02-05,Biotechnology,Healthcare,5614380.0,2.541,-2.4605901,0.9756969,1.374,-0.65953004,4.889,-2.27,8383000.0,61502000.0,-63585000.0,2024-09-30,-12786500.0,-0.2669,1.448937264085957,2.7300000190734863,1.3799999952316284,-11.325382321823604,-0.9098518995492595,-2.277455391334395,-0.08325992029669005,-1.2026431802085842,1.9782608902221517,0.9307692242662952
AAOI,US,2025-02-05,Communication Equipment,Technology,1309487488.0,0.757,-0.38606998,5.7337704,57.201,-0.41441002,1.609,-2.14,221609000.0,71261000.0,-68572000.0,2024-09-30,-11879000.0,-0.1593,3.75858847941639,27.114999771118164,6.96999979019165,-0.05236552516032898,-0.23413801345306792,-0.009071487974385289,-12.316822322952412,-12.670560640709422,3.890243986703563,0.02791812673390935
AAON,US,2025-02-05,Building Products & Equipment,Industrials,9053490176.0,0.035,0.15784,11.310156,8.581,0.25811002,3.06,2.2,602789000.0,288003000.0,243558000.0,2024-09-30,12126500.0,0.2091,1.5584104709559377,110.93000030517578,85.34162139892578,0.026902111259329654,0.2734173634249073,0.0013394281944598865,50.40681832053444,50.42272741144353,1.2998346936325267,0.0003155142874219119
ABL,US,2025-02-05,Insurance - Life,Financial Services,741744256.0,0.3,-0.116459996,2.255356,70.76,-0.05789,1.291,-0.22,446512491.0,6934329.0,20995498.0,2024-09-30,-59768202.0,0.3336,0.775924450987216,7.789999961853027,9.130000114440918,0.02830557544620878,0.04630200736659704,-0.08057791013079312,-34.04545437205922,-35.40909073569558,0.8532310913700414,0.03851091161348841
ACAD,US,2025-02-05,Biotechnology,Healthcare,2600560128.0,3.398,0.13829,5.397694,8.554,0.27361,2.292,0.79,188584000.0,444339000.0,112235000.0,2024-09-30,44094500.0,-0.3345,1.3034958737846805,18.729999542236328,18.40999984741211,0.04315800999622186,0.17732804780360328,0.016955770230127898,19.407594357261175,23.708860180045985,1.0173818412534752,0.18142018596089537
ACB,US,2025-02-05,Drug Manufacturers - Specialty & Generic,Healthcare,201289252864.0,0.002,-0.14708,368.0,17.32,-0.05789,3.829,-0.49,391099000.0,308580000.0,-14425000.0,2024-09-30,-13106000.0,-0.1378,1.3948041122264276,3.680000066757202,5.539999961853027,-7.166304109512579e-05,-0.020616597039499543,-6.511028191284012e-05,-7.5061225852187805,-7.510204217871841,0.6642599444217885,0.0005434782510105741
ACCD,US,2025-02-05,Health Information Services,Healthcare,556942400.0,2.91,-0.18160999,1.2110059,56.446,-0.18611999,2.72,-2.27,375005000.0,168868000.0,-87944000.0,2024-11-30,-3756000.0,-0.1603,1.4251494384423484,6.909999847412109,3.640000104904175,-0.15790501854410796,-0.16169951440869468,-0.006743964905527035,-1.7621144702255989,-3.0440527962167883,1.8983515517217324,0.4211288081417014
ACDC,US,2025-02-05,Oil & Gas Equipment & Services,Energy,2640027392.0,0.159,-0.09347,1.1183828,106.23,-0.15637,0.952,-1.54,2455800000.0,-34500000.0,82700000.0,2024-09-30,39900000.0,0.0176,0.5653749052778505,7.690000057220459,7.389999866485596,0.03132543255066347,0.03415520588113823,0.015113479549836429,-4.890259777415882,-4.993506530662636,1.0405954257313852,0.02067620270700887
ACHC,US,2025-02-05,Medical Care Facilities,Healthcare,6228001792.0,0.884,0.089899994,1.3638841,63.897,0.09762,1.07,3.07,5218395000.0,42562000.0,545836000.0,2024-09-30,-5102000.0,0.0954,1.0705908097742352,45.060001373291016,71.0199966430664,0.08764223554032015,0.10375222606837502,-0.0008192033609485512,14.389576994557334,14.677524877293491,0.6344692129422984,0.019618286130900664
ACIU,US,2025-02-05,Biotechnology,Healthcare,117753088.0,1.581,-0.97291,2.0935583,2.369,-0.31164,1.858,-0.44,56658000.0,86603000.0,-37301000.0,2024-09-30,29323500.0,-0.3307,1.2971680229373506,2.7300000190734863,3.490000009536743,-0.3167730089592215,-0.26037093137699724,0.24902531643161663,-2.611363679712469,-6.204545497894287,0.7822349603477113,0.5791208750747787
