ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice
AAPL,sp500,2025-02-05,Consumer Electronics,Technology,3645256499200.0,4.311,0.23971,61.799843,209.059,1.5741299,0.867,6.43,210845000000.0,-11125000000.0,125675000000.0,2024-12-31,25449000000.0,0.5722,0.7393700108094945,232.8000030517578,208.79833984375,0.034476311893986346,0.6292559583416784,0.006981401721822627,35.53483717756731,36.205288188453785,1.114951408262963,0.018518040994361787
MSFT,sp500,2025-02-05,Software - Infrastructure,Technology,3307079729152.0,10.549,0.35608003,11.418246,33.657,0.35604,1.301,12.45,386818000000.0,38198000000.0,117711000000.0,2024-12-31,12872000000.0,0.2912,1.0950693456413265,412.3699951171875,393.6510925292969,0.035593638388084284,0.2769566322209046,0.00389225572233199,32.27477872427209,33.12208796121988,1.0475520148251525,0.02558139565174275
NVDA,sp500,2025-02-05,Semiconductors,Technology,3553896693760.0,1.419,0.55041003,68.03326,17.221,1.23767,4.269,2.57,28373000000.0,51161000000.0,71034000000.0,2024-10-31,15162500000.0,0.2984,2.819214371054077,118.6500015258789,100.43448638916016,0.019987637829969245,0.8931274674981768,0.004266443655107535,45.61517569100347,46.16731576882448,1.1813671358475204,0.011959544726095095
GOOGL,sp500,2025-02-05,Internet Content & Information,Communication Services,2462356602880.0,7.616,0.27738002,8.057627,9.324,0.32101002,1.95,7.74,272725000000.0,76738000000.0,105115000000.0,2024-09-30,15545500000.0,0.2349,1.1526073240719004,206.3800048828125,158.85690307617188,0.04268878028351227,0.30079006933495106,0.006313261036934215,25.680103990027455,26.66408331819283,1.2991566679595492,0.03690279978588307
GOOG,sp500,2025-02-05,Internet Content & Information,Communication Services,2478637056000.0,7.616,0.27738002,8.109553,9.324,0.32101002,1.95,7.73,272725000000.0,76738000000.0,105115000000.0,2024-09-30,15545500000.0,0.2349,1.17030110615996,207.7100067138672,160.2470245361328,0.04240838720035661,0.30079006933495106,0.006271793590097928,25.885382498559792,26.870634762466647,1.2961863555041069,0.03666650500132856
AMZN,sp500,2025-02-05,Internet Retail,Consumer Cyclical,2615747543040.0,8.374,0.080419995,9.817886,61.175,0.22558,1.089,4.77,408834000000.0,14315000000.0,60599000000.0,2024-09-30,5506000000.0,0.0871,1.4212033903313335,242.05999755859375,161.02000427246094,0.023166991081093533,0.14320960229139146,0.0021049431986089042,48.99077516951652,50.74633072507207,1.5032914615317334,0.034594728928611866
META,sp500,2025-02-05,Internet Content & Information,Communication Services,1685938241536.0,28.085,0.35549998,10.80278,29.811,0.36134,2.732,24.08,176009000000.0,66449000000.0,69379000000.0,2024-12-31,15014500000.0,0.257,1.1547584228067003,704.1900024414062,474.8935546875,0.04115156670080109,0.2861485288173622,0.008905723608428746,28.07745026750026,29.243770865506907,1.482837565367239,0.03988270197337384
LLY,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,770690711552.0,3.912,0.20482999,52.200317,218.081,0.65318,1.273,9.5,44191800000.0,6741000000.0,15128500000.0,2024-09-30,-197750000.0,0.2511,0.8002358716008791,826.0700073242188,772.898193359375,0.019629794122644297,0.29702863380768385,-0.00025658801518676073,86.54294813939144,86.95473761307566,1.0687953658343208,0.0047356761113644995
AVGO,sp500,2025-02-05,Semiconductors,Technology,103630258176.0,27.019,0.108830005,3.755931,166.032,0.12509,1.038,1.31,146050000000.0,2898000000.0,14996000000.0,2024-10-31,5136500000.0,0.1732,2.8159382551611762,222.42999267578125,141.23580932617188,0.14470677062804965,0.10067943174799258,0.049565639325885376,149.16869669906964,169.7938875387643,1.5748838324854175,0.12147192775114404
TSLA,sp500,2025-02-05,Auto Manufacturers,Consumer Cyclical,1228948242432.0,10.482,0.13075,17.986334,18.078,0.20389,1.844,2.08,63716000000.0,29539000000.0,7760000000.0,2024-12-31,2388000000.0,0.1498,2.8060325011541924,392.2099914550781,198.8800048828125,0.006314342404399,0.08321269637016782,0.0019431249564052593,183.5230728149414,188.56249589186447,1.9720936334760393,0.02672547927989376
WMT,sp500,2025-02-05,Discount Stores,Consumer Defensive,736540164096.0,1.096,0.02339,9.678256,69.566,0.18531999,0.803,2.45,176461000000.0,-15620000000.0,28743000000.0,2024-10-31,3324500000.0,0.1525,0.3345573651984471,100.7699966430664,67.24888610839844,0.039024348434926165,0.17870443481450626,0.004513671028490834,40.68326393594547,41.13061087472098,1.4984634315077772,0.010876253215350401
UNH,sp500,2025-02-05,Healthcare Plans,Healthcare,550896926720.0,40.351,0.03635,5.325568,74.683,0.15252,0.908,15.44,207051000000.0,-9307000000.0,27373000000.0,2024-09-30,9423500000.0,0.1649,0.26287213775360957,545.4500122070312,565.7760620117188,0.0496880608192477,0.1384264503600615,0.017105740734672147,32.713666593719644,35.327073329470934,0.9640740371156487,0.07397744815648542
XOM,sp500,2025-02-05,Oil & Gas Integrated,Energy,505002524672.0,6.126,0.09802,1.7993193,15.394,0.14513999,1.348,8.05,367567000000.0,24356000000.0,40337000000.0,2024-09-30,7867000000.0,0.0837,0.242725808378125,109.95999908447266,112.92546081542969,0.07987484820239057,0.10292072677541252,0.015578139941200551,12.898633426642565,13.659627215462441,0.9737396534887388,0.055711168161195875
